2026-02-24 13:24:48 | DEBUG    | shortsqueeze.signals:scan_stock - PLUG: No signal - price=True (+5.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.94 vs VWAP $1.84), squeeze=False, mom=False
2026-02-24 13:24:48 | DEBUG    | shortsqueeze.signals:scan_stock - AMC: price=$1.17, prev_close=$1.15 (source: yahoo)
2026-02-24 13:24:49 | DEBUG    | shortsqueeze.signals:scan_stock - AMC: No signal - price=False (+2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.17 vs VWAP $1.18), squeeze=False, mom=False
2026-02-24 13:24:49 | DEBUG    | shortsqueeze.signals:scan_stock - SLS: price=$4.94, prev_close=$4.50 (source: yahoo)
2026-02-24 13:24:50 | DEBUG    | shortsqueeze.signals:scan_stock - SLS: No signal - price=True (+9.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.94 vs VWAP $4.60), squeeze=False, mom=False
2026-02-24 13:24:50 | DEBUG    | shortsqueeze.signals:scan_stock - AIRS: price=$1.71, prev_close=$1.65 (source: yahoo)
2026-02-24 13:24:50 | DEBUG    | shortsqueeze.signals:scan_stock - AIRS: Using Yahoo volume=468,678
2026-02-24 13:24:50 | DEBUG    | shortsqueeze.signals:scan_stock - AIRS: No signal - price=False (+3.9%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=False ($1.71 vs VWAP $1.73), squeeze=False, mom=False
2026-02-24 13:24:51 | DEBUG    | shortsqueeze.signals:scan_stock - VUZI: price=$3.12, prev_close=$2.72 (source: yahoo)
2026-02-24 13:24:51 | DEBUG    | shortsqueeze.signals:scan_stock - VUZI: No signal - price=True (+14.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.12 vs VWAP $2.72), squeeze=False, mom=False
2026-02-24 13:24:52 | DEBUG    | shortsqueeze.signals:scan_stock - HUMA: price=$1.12, prev_close=$1.14 (source: yahoo)
2026-02-24 13:24:52 | DEBUG    | shortsqueeze.signals:scan_stock - HUMA: No signal - price=False (-2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.12 vs VWAP $1.13), squeeze=False, mom=False
2026-02-24 13:24:52 | DEBUG    | shortsqueeze.signals:scan_stock - AVXL: price=$4.38, prev_close=$4.16 (source: yahoo)
2026-02-24 13:24:52 | DEBUG    | shortsqueeze.signals:scan_stock - AVXL: No signal - price=True (+5.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.38 vs VWAP $4.16), squeeze=False, mom=False
2026-02-24 13:24:53 | DEBUG    | shortsqueeze.signals:scan_stock - SPCE: price=$2.55, prev_close=$2.43 (source: yahoo)
2026-02-24 13:24:53 | DEBUG    | shortsqueeze.signals:scan_stock - SPCE: No signal - price=True (+5.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.55 vs VWAP $2.42), squeeze=False, mom=False
2026-02-24 13:24:54 | DEBUG    | shortsqueeze.signals:scan_stock - ABCL: price=$3.19, prev_close=$3.03 (source: yahoo)
2026-02-24 13:24:54 | DEBUG    | shortsqueeze.signals:scan_stock - ABCL: No signal - price=True (+5.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.19 vs VWAP $3.02), squeeze=False, mom=False
2026-02-24 13:24:55 | DEBUG    | shortsqueeze.signals:scan_stock - RZLV: price=$2.35, prev_close=$2.16 (source: yahoo)
2026-02-24 13:24:55 | DEBUG    | shortsqueeze.signals:scan_stock - RZLV: No signal - price=True (+9.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.35 vs VWAP $2.14), squeeze=False, mom=False
2026-02-24 13:24:55 | DEBUG    | shortsqueeze.signals:scan_stock - TRX: price=$1.85, prev_close=$1.83 (source: yahoo)
2026-02-24 13:24:55 | DEBUG    | shortsqueeze.signals:scan_stock - TRX: No signal - price=False (+1.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.85 vs VWAP $1.85), squeeze=False, mom=False
2026-02-24 13:24:56 | DEBUG    | shortsqueeze.signals:scan_stock - LAES: price=$3.88, prev_close=$3.77 (source: yahoo)
2026-02-24 13:24:56 | DEBUG    | shortsqueeze.signals:scan_stock - LAES: No signal - price=False (+3.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.88 vs VWAP $3.76), squeeze=False, mom=False
2026-02-24 13:24:57 | DEBUG    | shortsqueeze.signals:scan_stock - EMPD: price=$3.66, prev_close=$3.60 (source: yahoo)
2026-02-24 13:24:57 | DEBUG    | shortsqueeze.signals:scan_stock - EMPD: No signal - price=False (+1.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.66 vs VWAP $3.71), squeeze=False, mom=False
2026-02-24 13:24:57 | DEBUG    | shortsqueeze.signals:scan_stock - NAMM: price=$3.61, prev_close=$3.57 (source: yahoo)
2026-02-24 13:24:58 | DEBUG    | shortsqueeze.signals:scan_stock - NAMM: No signal - price=False (+1.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.61 vs VWAP $3.63), squeeze=False, mom=False
2026-02-24 13:24:58 | DEBUG    | shortsqueeze.signals:scan_stock - ABEV: price=$3.21, prev_close=$3.13 (source: yahoo)
2026-02-24 13:24:58 | DEBUG    | shortsqueeze.signals:scan_stock - ABEV: No signal - price=False (+2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.21 vs VWAP $3.12), squeeze=False, mom=False
2026-02-24 13:24:59 | DEBUG    | shortsqueeze.signals:scan_stock - ODV: price=$4.24, prev_close=$3.86 (source: yahoo)
2026-02-24 13:24:59 | DEBUG    | shortsqueeze.signals:scan_stock - ODV: No signal - price=True (+9.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.24 vs VWAP $3.83), squeeze=False, mom=False
2026-02-24 13:25:00 | DEBUG    | shortsqueeze.signals:scan_stock - SIDU: price=$2.05, prev_close=$2.03 (source: yahoo)
2026-02-24 13:25:00 | DEBUG    | shortsqueeze.signals:scan_stock - SIDU: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.05 vs VWAP $2.03), squeeze=False, mom=False
2026-02-24 13:25:01 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: price=$2.12, prev_close=$2.19 (source: yahoo)
2026-02-24 13:25:01 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No signal - price=False (-3.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.12 vs VWAP $2.19), squeeze=False, mom=False
2026-02-24 13:25:01 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: price=$4.29, prev_close=$4.19 (source: yahoo)
2026-02-24 13:25:02 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: No signal - price=False (+2.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.29 vs VWAP $4.19), squeeze=False, mom=False
2026-02-24 13:25:02 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: price=$4.12, prev_close=$4.13 (source: yahoo)
2026-02-24 13:25:02 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No signal - price=False (-0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.12 vs VWAP $4.21), squeeze=False, mom=False
