2026-02-25 11:16:29 | INFO     | shortsqueeze.signals:scan_watchlist - Scanning 276 stocks from watchlist...
2026-02-25 11:16:31 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: price=$14.77, prev_close=$14.63 (source: yahoo)
2026-02-25 11:16:31 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: No signal - price=False (+1.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($14.77 vs VWAP $14.73), squeeze=False, mom=False
2026-02-25 11:16:31 | DEBUG    | shortsqueeze.signals:scan_stock - WEN: price=$7.53, prev_close=$7.73 (source: yahoo)
2026-02-25 11:16:31 | DEBUG    | shortsqueeze.signals:scan_stock - WEN: No signal - price=False (-2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.53 vs VWAP $7.72), squeeze=False, mom=False
2026-02-25 11:16:32 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: price=$7.69, prev_close=$7.38 (source: yahoo)
2026-02-25 11:16:32 | DEBUG    | shortsqueeze.signals:scan_stock - DBI: No signal - price=False (+4.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.69 vs VWAP $7.27), squeeze=False, mom=False
2026-02-25 11:16:33 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: price=$14.73, prev_close=$15.77 (source: yahoo)
2026-02-25 11:16:33 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: No signal - price=False (-6.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($14.73 vs VWAP $15.71), squeeze=False, mom=False
2026-02-25 11:16:33 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: price=$10.66, prev_close=$10.35 (source: yahoo)
2026-02-25 11:16:33 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: No signal - price=False (+3.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($10.66 vs VWAP $10.28), squeeze=False, mom=False
2026-02-25 11:16:34 | DEBUG    | shortsqueeze.signals:scan_stock - NTLA: price=$13.64, prev_close=$13.58 (source: yahoo)
2026-02-25 11:16:34 | DEBUG    | shortsqueeze.signals:scan_stock - NTLA: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($13.64 vs VWAP $13.56), squeeze=False, mom=False
2026-02-25 11:16:35 | DEBUG    | shortsqueeze.signals:scan_stock - LCID: price=$10.07, prev_close=$9.92 (source: yahoo)
2026-02-25 11:16:35 | DEBUG    | shortsqueeze.signals:scan_stock - LCID: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($10.07 vs VWAP $9.69), squeeze=False, mom=False
2026-02-25 11:16:35 | DEBUG    | shortsqueeze.signals:scan_stock - ABX: price=$8.70, prev_close=$8.73 (source: yahoo)
2026-02-25 11:16:35 | DEBUG    | shortsqueeze.signals:scan_stock - ABX: Using Yahoo volume=260,619
2026-02-25 11:16:35 | DEBUG    | shortsqueeze.signals:scan_stock - ABX: No signal - price=False (-0.3%, need +5.0%), vol=False (ratio=0.8x, need 3.0x, src=yahoo), vwap=True ($8.70 vs VWAP $8.68), squeeze=False, mom=False
2026-02-25 11:16:36 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: price=$8.91, prev_close=$8.57 (source: yahoo)
2026-02-25 11:16:36 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: No signal - price=False (+4.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($8.91 vs VWAP $8.48), squeeze=False, mom=False
2026-02-25 11:16:37 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: price=$16.16, prev_close=$15.46 (source: yahoo)
2026-02-25 11:16:37 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: No signal - price=False (+4.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($16.16 vs VWAP $15.02), squeeze=False, mom=False
2026-02-25 11:16:37 | DEBUG    | shortsqueeze.signals:scan_stock - CBRL: price=$30.95, prev_close=$31.09 (source: yahoo)
2026-02-25 11:16:38 | DEBUG    | shortsqueeze.signals:scan_stock - CBRL: Using Yahoo volume=439,118
2026-02-25 11:16:38 | DEBUG    | shortsqueeze.signals:scan_stock - CBRL: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($30.95 vs VWAP $31.13), squeeze=False, mom=False
2026-02-25 11:16:38 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: price=$12.35, prev_close=$12.26 (source: yahoo)
2026-02-25 11:16:38 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: No signal - price=False (+0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($12.35 vs VWAP $12.20), squeeze=False, mom=False
2026-02-25 11:16:39 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: price=$10.05, prev_close=$11.55 (source: yahoo)
2026-02-25 11:16:39 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: No signal - price=False (-13.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($10.05 vs VWAP $11.27), squeeze=False, mom=False
2026-02-25 11:16:39 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: price=$1.80, prev_close=$4.64 (source: yahoo)
2026-02-25 11:16:39 | DEBUG    | shortsqueeze.signals:scan_stock - ULCC: No signal - price=False (-61.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.80 vs VWAP $4.75), squeeze=False, mom=False
2026-02-25 11:16:40 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: price=$6.41, prev_close=$12.82 (source: yahoo)
2026-02-25 11:16:40 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: Using Yahoo volume=301,618
2026-02-25 11:16:40 | DEBUG    | shortsqueeze.signals:scan_stock - LENZ: No signal - price=False (-50.0%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=False ($6.41 vs VWAP $12.83), squeeze=False, mom=False
2026-02-25 11:16:41 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: price=$12.79, prev_close=$12.88 (source: yahoo)
2026-02-25 11:16:41 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: Using Yahoo volume=932,719
2026-02-25 11:16:41 | DEBUG    | shortsqueeze.signals:scan_stock - TNGX: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($12.79 vs VWAP $12.85), squeeze=False, mom=False
2026-02-25 11:16:41 | DEBUG    | shortsqueeze.signals:scan_stock - MARA: price=$8.68, prev_close=$8.05 (source: yahoo)
2026-02-25 11:16:42 | DEBUG    | shortsqueeze.signals:scan_stock - MARA: No signal - price=True (+7.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($8.68 vs VWAP $7.91), squeeze=False, mom=False
2026-02-25 11:16:42 | DEBUG    | shortsqueeze.signals:scan_stock - GO: price=$9.86, prev_close=$10.09 (source: yahoo)
2026-02-25 11:16:42 | DEBUG    | shortsqueeze.signals:scan_stock - GO: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($9.86 vs VWAP $10.08), squeeze=False, mom=False
2026-02-25 11:16:43 | DEBUG    | shortsqueeze.signals:scan_stock - MPT: price=$5.72, prev_close=$5.70 (source: yahoo)
2026-02-25 11:16:43 | DEBUG    | shortsqueeze.signals:scan_stock - MPT: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($5.72 vs VWAP $5.79), squeeze=False, mom=False
2026-02-25 11:16:43 | DEBUG    | shortsqueeze.signals:scan_stock - VITL: price=$12.38, prev_close=$25.76 (source: yahoo)
2026-02-25 11:16:44 | DEBUG    | shortsqueeze.signals:scan_stock - VITL: No signal - price=False (-51.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.38 vs VWAP $25.86), squeeze=False, mom=False
2026-02-25 11:16:44 | DEBUG    | shortsqueeze.signals:scan_stock - SPRY: price=$8.59, prev_close=$9.14 (source: yahoo)
2026-02-25 11:16:44 | DEBUG    | shortsqueeze.signals:scan_stock - SPRY: Using Yahoo volume=315,001
2026-02-25 11:16:44 | DEBUG    | shortsqueeze.signals:scan_stock - SPRY: No signal - price=False (-6.1%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($8.59 vs VWAP $9.15), squeeze=False, mom=False
2026-02-25 11:16:45 | DEBUG    | shortsqueeze.signals:scan_stock - KSS: price=$16.23, prev_close=$17.71 (source: yahoo)
2026-02-25 11:16:45 | DEBUG    | shortsqueeze.signals:scan_stock - KSS: No signal - price=False (-8.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($16.23 vs VWAP $17.86), squeeze=False, mom=False
2026-02-25 11:16:46 | DEBUG    | shortsqueeze.signals:scan_stock - ACHC: price=$21.13, prev_close=$17.17 (source: yahoo)
2026-02-25 11:16:46 | DEBUG    | shortsqueeze.signals:scan_stock - ACHC: No signal - price=True (+23.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($21.13 vs VWAP $16.90), squeeze=False, mom=False
2026-02-25 11:16:46 | DEBUG    | shortsqueeze.signals:scan_stock - SPHR: price=$57.70, prev_close=$113.21 (source: yahoo)
2026-02-25 11:16:46 | DEBUG    | shortsqueeze.signals:scan_stock - SPHR: Using Yahoo volume=209,866
2026-02-25 11:16:47 | DEBUG    | shortsqueeze.signals:scan_stock - SPHR: No signal - price=False (-49.0%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($57.70 vs VWAP $113.87), squeeze=False, mom=False
2026-02-25 11:16:47 | DEBUG    | shortsqueeze.signals:scan_stock - APLD: price=$29.95, prev_close=$30.66 (source: yahoo)
