2026-02-26 10:53:19 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: No signal - price=False (-60.2%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=False ($20.50 vs VWAP $51.35), squeeze=False, mom=False
2026-02-26 10:53:19 | DEBUG    | shortsqueeze.signals:scan_stock - SRAD: price=$18.07, prev_close=$17.79 (source: yahoo)
2026-02-26 10:53:20 | DEBUG    | shortsqueeze.signals:scan_stock - SRAD: No signal - price=False (+1.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($18.07 vs VWAP $17.89), squeeze=False, mom=False
2026-02-26 10:53:20 | DEBUG    | shortsqueeze.signals:scan_stock - LOGI: price=$91.83, prev_close=$90.09 (source: yahoo)
2026-02-26 10:53:20 | DEBUG    | shortsqueeze.signals:scan_stock - LOGI: No signal - price=False (+1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($91.83 vs VWAP $89.99), squeeze=False, mom=False
2026-02-26 10:53:21 | DEBUG    | shortsqueeze.signals:scan_stock - MSTR: price=$131.24, prev_close=$135.65 (source: yahoo)
2026-02-26 10:53:21 | DEBUG    | shortsqueeze.signals:scan_stock - MSTR: No signal - price=False (-3.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($131.24 vs VWAP $134.30), squeeze=False, mom=False
2026-02-26 10:53:21 | DEBUG    | shortsqueeze.signals:scan_stock - CTRA: price=$30.27, prev_close=$29.90 (source: yahoo)
2026-02-26 10:53:22 | DEBUG    | shortsqueeze.signals:scan_stock - CTRA: No signal - price=False (+1.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($30.27 vs VWAP $30.00), squeeze=False, mom=False
2026-02-26 10:53:22 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: price=$52.14, prev_close=$51.87 (source: yahoo)
2026-02-26 10:53:22 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: No signal - price=False (+0.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($52.14 vs VWAP $51.65), squeeze=False, mom=False
2026-02-26 10:53:23 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: price=$21.41, prev_close=$22.83 (source: yahoo)
