2026-02-19 09:08:34 | DEBUG    | shortsqueeze.signals:scan_stock - UMC: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($10.16 vs VWAP $10.27), squeeze=False, mom=False
2026-02-19 09:08:34 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: price=$51.95, prev_close=$52.59 (source: yahoo)
2026-02-19 09:08:35 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: No signal - price=False (-1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($51.95 vs VWAP $52.62), squeeze=False, mom=False
2026-02-19 09:08:35 | DEBUG    | shortsqueeze.signals:scan_stock - TRIN: price=$15.16, prev_close=$15.55 (source: yahoo)
2026-02-19 09:08:35 | DEBUG    | shortsqueeze.signals:scan_stock - TRIN: No signal - price=False (-2.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($15.16 vs VWAP $15.50), squeeze=False, mom=False
2026-02-19 09:08:36 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: price=$7.54, prev_close=$7.50 (source: yahoo)
2026-02-19 09:08:36 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: No signal - price=False (+0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.54 vs VWAP $7.59), squeeze=False, mom=False
2026-02-19 09:08:37 | DEBUG    | shortsqueeze.signals:scan_stock - IGV: price=$81.39, prev_close=$82.00 (source: yahoo)
2026-02-19 09:08:37 | DEBUG    | shortsqueeze.signals:scan_stock - IGV: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($81.39 vs VWAP $81.92), squeeze=False, mom=False
2026-02-19 09:08:38 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: price=$25.15, prev_close=$24.37 (source: yahoo)
2026-02-19 09:08:38 | DEBUG    | shortsqueeze.signals:scan_stock - MUX: No Alpaca intraday data, trying Finnhub...
