2026-02-19 07:39:27 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: price=$1.98, prev_close=$2.06 (source: yahoo)
2026-02-19 07:39:27 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: No signal - price=False (-3.6%, need +5.0%), vol=False (ratio=0.1x, need 3.0x, src=alpaca), vwap=False ($1.98 vs VWAP $2.09), squeeze=False, mom=False
2026-02-19 07:39:27 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Alpaca returned insufficient data, trying Yahoo...
2026-02-19 07:39:27 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Got 21 bars from Yahoo
2026-02-19 07:39:28 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: price=$1.17, prev_close=$1.17 (source: yahoo)
2026-02-19 07:39:28 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:29 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:29 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Using Yahoo volume=102,875
2026-02-19 07:39:29 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No signal - price=False (+0.0%, need +5.0%), vol=True (ratio=9.5x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-19 07:39:29 | DEBUG    | shortsqueeze.signals:scan_stock - UWMC: price=$4.71, prev_close=$4.80 (source: yahoo)
2026-02-19 07:39:30 | DEBUG    | shortsqueeze.signals:scan_stock - UWMC: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:30 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:30 | DEBUG    | shortsqueeze.signals:scan_stock - UWMC: Using Yahoo volume=360,259
2026-02-19 07:39:30 | DEBUG    | shortsqueeze.signals:scan_stock - UWMC: No signal - price=False (-2.1%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=False ($4.71 vs VWAP $4.85), squeeze=False, mom=False
2026-02-19 07:39:31 | DEBUG    | shortsqueeze.signals:scan_stock - BNC: price=$2.08, prev_close=$4.29 (source: yahoo)
2026-02-19 07:39:31 | DEBUG    | shortsqueeze.signals:scan_stock - BNC: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:32 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:32 | DEBUG    | shortsqueeze.signals:scan_stock - BNC: Using Yahoo volume=4,237
2026-02-19 07:39:32 | DEBUG    | shortsqueeze.signals:scan_stock - BNC: No signal - price=False (-51.5%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=False ($2.08 vs VWAP $4.27), squeeze=False, mom=False
2026-02-19 07:39:32 | DEBUG    | shortsqueeze.signals:scan_stock - LAES: price=$3.87, prev_close=$3.90 (source: yahoo)
2026-02-19 07:39:32 | DEBUG    | shortsqueeze.signals:scan_stock - LAES: No signal - price=False (-0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.87 vs VWAP $3.94), squeeze=False, mom=False
2026-02-19 07:39:33 | DEBUG    | shortsqueeze.signals:scan_stock - PSEC: price=$2.99, prev_close=$3.04 (source: yahoo)
2026-02-19 07:39:33 | DEBUG    | shortsqueeze.signals:scan_stock - PSEC: No signal - price=False (-1.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.99 vs VWAP $3.03), squeeze=False, mom=False
2026-02-19 07:39:34 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: price=$0.50, prev_close=$1.12 (source: yahoo)
2026-02-19 07:39:34 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: No Alpaca intraday data, trying Finnhub...
2026-02-19 07:39:35 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 07:39:35 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: Using Yahoo volume=8,844
2026-02-19 07:39:35 | DEBUG    | shortsqueeze.signals:scan_stock - ENLV: No signal - price=False (-55.5%, need +5.0%), vol=False (ratio=1.0x, need 3.0x, src=yahoo), vwap=False ($0.50 vs VWAP $1.10), squeeze=False, mom=False
2026-02-19 07:39:35 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Alpaca returned insufficient data, trying Yahoo...
2026-02-19 07:39:35 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: Got 21 bars from Yahoo
2026-02-19 07:39:36 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: price=$1.30, prev_close=$1.34 (source: yahoo)
2026-02-19 07:39:36 | DEBUG    | shortsqueeze.signals:scan_stock - PSRHF: No Alpaca intraday data, trying Finnhub...
